time	a	b
231	13156	13405
243	13777	14026
243	13777	14026
126	14387	14644
126	14387	14644
205	15029	15278
205	15029	15278
164	15678	15927
164	15678	15927
186	16288	16538
186	16288	16538
189	16894	17144
189	16894	17144
190	17526	17775
190	17526	17775
230	18147	18397
230	18147	18397
201	18781	19031
201	18781	19031
213	284	539
213	284	539
211	898	1147
211	898	1147
218	1539	1789
218	1539	1789
218	2152	2401
218	2152	2401
219	2763	3013
219	2763	3013
218	3382	3632
218	3382	3632
212	3993	4243
212	3993	4243
223	4603	4852
223	4603	4852
235	5228	5478
235	5228	5478
221	5854	6104
221	5854	6104
190	6466	6716
190	6466	6716
231	7289	7539
231	7289	7539
210	7905	8154
210	7905	8154
103	8582	8831
103	8582	8831
232	9187	9442
232	9187	9442
86	9838	10087
86	9838	10087
229	10474	10724
229	10474	10724
155	11079	11328
155	11079	11328
210	11690	11940
210	11690	11940
218	12297	12553
218	12297	12553
214	12926	13177
214	12926	13177
107	13542	13658
107	13542	13658
218	14152	14408
218	14152	14408
230	14768	15018
230	14768	15018
177	15530	15780
177	15530	15780
154	16137	16386
154	16137	16386
206	16770	17020
206	16770	17020
128	17386	17636
128	17386	17636
219	18018	18269
219	18018	18269
195	18645	18895
195	18645	18895
181	299	548
181	299	548
216	922	1170
216	922	1170
215	1537	1787
215	1537	1787
229	2176	2425
229	2176	2425
199	2804	3054
199	2804	3054
204	3423	3672
204	3423	3672
229	4052	4301
229	4052	4301
225	4667	4917
225	4667	4917
178	5246	5503
178	5246	5503
224	5872	6121
224	5872	6121
226	6478	6728
226	6478	6728
238	7095	7352
238	7095	7352
232	7671	7928
